Day,Line,Style,Quantity,SAM_Workload,Experience,Efficiency
1,NT21S01,245N026,3228.7822878228785,10500.0,0.0,50.0
2,NT21S01,245N026,3261.0701107011073,10605.0,1.0,50.5
3,NT21S01,245N026,0.0,0.0,2.0,51.0
4,NT21S01,245N026,3293.3579335793356,10709.999999999998,2.0,51.0
5,NT21S01,245N026,3325.645756457565,10815.0,3.0,51.5
6,NT21S01,245N104,2482.2695035460993,10500.000000000002,0.0,50.0
7,NT21S01,245N026,3228.7822878228785,10500.0,0.0,50.0
8,NT21S01,245N004,2390.0029590512827,10500.0,0.0,50.0
9,NT21S01,245N104,2482.2695035460993,10500.000000000002,0.0,50.0
10,NT21S01,245N026,0.0,0.0,0.0,50.0
11,NT21S01,245N026,3228.7822878228785,10500.0,0.0,50.0
12,NT21S01,245N026,3261.070110701107,10604.999999999998,1.0,50.5
13,NT21S01,245N026,3293.357933579336,10710.0,2.0,51.0
14,NT21S01,245N026,3325.645756457565,10815.0,3.0,51.5
15,NT21S01,245N026,3357.9335793357936,10920.0,4.0,52.0
16,NT21S01,245N004,2390.0029590512827,10500.0,0.0,50.0
17,NT21S01,245N026,0.0,0.0,0.0,50.0
18,NT21S01,245N026,3228.782287822878,10499.999999999998,0.0,50.0
19,NT21S01,245N026,3261.0701107011073,10605.0,1.0,50.5
20,NT21S01,245N026,3293.357933579336,10710.0,2.0,51.0
21,NT21S01,245N026,3325.645756457565,10815.0,3.0,51.5
